Gene_Locus_ID,Gene_Symbol,Gene_Function,Uniprot_ID,GO_Terms,eggNOG,COG_ID,COG_Category,KEGG_Pathway
PA3457,NA,NA,Q9HYE9,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,NA,NA,NA
PA3458,NA,NA,Q9HYE8,"DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]",NA,COG1846,,NA
PA3459,,(RefSeq) glutamine amidotransferase,Q9HYE7,asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]; transferase activity [GO:0016740]; asparagine biosynthetic process [GO:0006529]; glutamine metabolic process [GO:0006541],NA,NA,NA,"Biosynthesis of amino acids, Biosynthesis of secondary metabolites, Alanine, aspartate and glutamate metabolism, Metabolic pathways"
PA3460,NA,NA,Q9HYE6,ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; N-acetyltransferase activity [GO:0008080],NA,COG0456,,NA
PA3460,NA,NA,Q9HYE6,ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; N-acetyltransferase activity [GO:0008080],NA,COG1181,Mureine biosynthesis,NA
PA3461,NA,NA,Q9HYE5,aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872],NA,COG1363,,NA
PA3462,NA,NA,Q9HYE4,integral component of membrane [GO:0016021]; phosphorelay sensor kinase activity [GO:0000155],NA,COG0642,,NA
PA3462,NA,NA,Q9HYE4,integral component of membrane [GO:0016021]; phosphorelay sensor kinase activity [GO:0000155],NA,COG0784,,NA
PA3463,NA,NA,Q9HYE3,NA,NA,NA,NA,NA
PA3464,NA,NA,Q9HYE2,"hydrolase activity, acting on ester bonds [GO:0016788]",NA,NA,NA,NA
PA3465,NA,NA,Q9HYE1,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],NA,COG2814,,NA
PA3466,NA,NA,Q9HYE0,"ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; ribosomal large subunit assembly [GO:0000027]",NA,COG0513,,NA
PA3467,NA,NA,Q9HYD9,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],NA,COG2814,,NA
PA3468,NA,NA,Q9HYD8,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; mechanosensitive ion channel activity [GO:0008381]; cellular response to osmotic stress [GO:0071470],NA,COG0668,,NA
PA3469,NA,NA,Q9HYD7,"5-amino-6-(5-phosphoribosylamino)uracil reductase activity [GO:0008703]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; riboflavin biosynthetic process [GO:0009231]",NA,COG0262,Folate biosynthesis,NA
PA3470,NA,NA,Q9HYD6,hydrolase activity [GO:0016787],NA,COG0494,,NA
PA3471,,(RefSeq) NAD-dependent malic enzyme,Q9HYD5,cytosol [GO:0005829]; malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malic enzyme activity [GO:0004470]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; oxaloacetate decarboxylase activity [GO:0008948]; malate metabolic process [GO:0006108]; pyruvate metabolic process [GO:0006090],NA,COG0281,Urea cycle,"Carbon metabolism, Pyruvate metabolism, Two-component system"
PA3472,NA,NA,Q9HYD4,NA,NA,COG0791,,NA
PA3473,NA,NA,O68827,integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886],NA,COG2962,,NA
PA3474,NA,NA,O68826,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],NA,COG0697,,NA
PA3475,pheC,(RefSeq) cyclohexadienyl dehydratase,Q01269,periplasmic space [GO:0042597]; arogenate dehydratase activity [GO:0047769]; prephenate dehydratase activity [GO:0004664]; L-phenylalanine biosynthetic process [GO:0009094],NA,NA,NA,"Biosynthesis of amino acids, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
PA3476,rhlI,(RefSeq) acyl-homoserine-lactone synthase,P54291,N-acyl homoserine lactone synthase activity [GO:0061579]; host interaction involved in quorum sensing [GO:0120218]; signal transduction [GO:0007165],NA,COG3916,,"Quorum sensing, Metabolic pathways, Biofilm formation - Pseudomonas aeruginosa, Two-component system, Cysteine and methionine metabolism"
PA3477,rhlR,(RefSeq) transcriptional regulator RhlR,P54292,"protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity [GO:0001217]; signaling receptor activity [GO:0038023]; transcription cis-regulatory region binding [GO:0000976]; gene expression [GO:0010467]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of proteolysis [GO:0045862]; positive regulation of pyocyanine biosynthetic process [GO:0062162]; positive regulation of secondary metabolite biosynthetic process [GO:1900378]; positive regulation of transcription, DNA-templated [GO:0045893]; quorum sensing [GO:0009372]",NA,COG2771,,"Biofilm formation - Pseudomonas aeruginosa, Quorum sensing"
PA3478,rhlB,(RefSeq) rhamnosyltransferase subunit B,Q9HYD1,intracellular membrane-bounded organelle [GO:0043231]; hexosyltransferase activity [GO:0016758]; UDP-glycosyltransferase activity [GO:0008194]; carbohydrate metabolic process [GO:0005975]; lipid glycosylation [GO:0030259]; vancomycin biosynthetic process [GO:0033072],NA,COG1819,,"Quorum sensing, Biofilm formation - Pseudomonas aeruginosa"
PA3479,rhlA,(RefSeq) rhamnosyltransferase subunit A,Q51559,acyltransferase activity [GO:0016746]; rhamnolipid biosynthesis [GO:0106236],NA,COG0596,Menaquinone biosynthesis,"Quorum sensing, Biofilm formation - Pseudomonas aeruginosa"
PA3480,,(RefSeq) deoxycytidine triphosphate deaminase,Q9HYC9,dCTP deaminase activity [GO:0008829]; nucleotide binding [GO:0000166]; dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]; nucleobase-containing small molecule interconversion [GO:0015949],NA,NA,NA,"Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism"
PA3481,NA,NA,Q9HYC8,"cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; iron-sulfur cluster assembly [GO:0016226]",NA,COG0489,,NA
PA3482,metG,(RefSeq) methionine--tRNA ligase,Q9HYC7,cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine-tRNA ligase activity [GO:0004825]; tRNA binding [GO:0000049]; methionyl-tRNA aminoacylation [GO:0006431]; tRNA aminoacylation for protein translation [GO:0006418],NA,COG0073,,"Metabolic pathways, Aminoacyl-tRNA biosynthesis, Selenocompound metabolism"
PA3483,NA,NA,Q9HYC6,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA3484,NA,NA,Q9HYC5,extracellular region [GO:0005576]; host cell membrane [GO:0033644]; membrane [GO:0016020]; lysozyme activity [GO:0003796]; metal ion binding [GO:0046872],NA,NA,NA,NA
PA3485,NA,NA,Q9HYC4,metal ion binding [GO:0046872],NA,NA,NA,NA
PA3486,,(RefSeq) hypothetical protein,Q9HYC3,extracellular region [GO:0005576]; type VI protein secretion system complex [GO:0033104]; protein secretion by the type VI secretion system [GO:0033103],NA,COG3501,,Bacterial secretion system
PA3487,NA,NA,Q9HYC2,phospholipase D activity [GO:0004630]; cellular biosynthetic process [GO:0044249]; organophosphate metabolic process [GO:0019637],NA,COG1502,Phospholipid biosynthesis,NA
PA3489,NA,NA,Q9HYC0,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transport chain [GO:0022900],NA,NA,NA,NA
PA3490,NA,NA,Q9HYB9,"plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]",NA,COG2878,Na+-translocating Fd:NADH oxidoreductase,NA
PA3491,NA,NA,Q9HYB8,"plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]",NA,NA,NA,NA
PA3492,NA,NA,Q9HYB7,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transport chain [GO:0022900]; transmembrane transport [GO:0055085],NA,NA,NA,NA
PA3493,NA,NA,Q9HYB6,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; FMN binding [GO:0010181],NA,NA,NA,NA
PA3494,NA,NA,Q9HYB5,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transport chain [GO:0022900],NA,NA,NA,NA
PA3495,nth,(RefSeq) endonuclease III,Q9HYB4,"4 iron, 4 sulfur cluster binding [GO:0051539]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; DNA binding [GO:0003677]; DNA N-glycosylase activity [GO:0019104]; metal ion binding [GO:0046872]; base-excision repair, AP site formation [GO:0006285]",NA,NA,NA,Base excision repair
PA3496,NA,NA,Q9HYB3,NA,NA,NA,NA,NA
PA3497,NA,NA,Q9HYB2,NA,NA,NA,NA,NA
PA3498,,(RefSeq) oxidoreductase,Q9HYB1,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]",NA,COG0633,,"Microbial metabolism in diverse environments, Chlorocyclohexane and chlorobenzene degradation, Metabolic pathways"
PA3498,,(RefSeq) oxidoreductase,Q9HYB1,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]",NA,COG1018,,"Microbial metabolism in diverse environments, Chlorocyclohexane and chlorobenzene degradation, Metabolic pathways"
PA3499,NA,NA,Q9HYB0,cytosol [GO:0005829]; deaminase activity [GO:0019239]; organonitrogen compound catabolic process [GO:1901565],NA,NA,NA,NA
PA3500,NA,NA,Q9HYA9,"cytoplasm [GO:0005737]; 2 iron, 2 sulfur cluster binding [GO:0051537]; ketosteroid monooxygenase activity [GO:0047086]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]",NA,NA,NA,NA
PA3501,NA,NA,Q9HYA8,NA,NA,NA,NA,NA
PA3502,NA,NA,Q9HYA7,NA,NA,NA,NA,NA
PA3504,,(RefSeq) aldehyde dehydrogenase,Q9HYA5,phenylacetaldehyde dehydrogenase activity [GO:0008957]; organic substance metabolic process [GO:0071704],NA,COG1012,Proline degradation,"Glycine, serine and threonine metabolism, Metabolic pathways"
PA3505,,(RefSeq) L-aspartate dehydrogenase,Q9HYA4,"aspartate dehydrogenase NAD activity [GO:0106351]; aspartate dehydrogenase NADP activity [GO:0106352]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]; NAD biosynthetic process [GO:0009435]",NA,NA,NA,"Biosynthesis of cofactors, Nicotinate and nicotinamide metabolism, Metabolic pathways"
PA3506,,(RefSeq) hypothetical protein,Q9HYA3,acetolactate synthase complex [GO:0005948]; acetolactate synthase activity [GO:0003984]; flavin adenine dinucleotide binding [GO:0050660]; magnesium ion binding [GO:0000287]; thiamine pyrophosphate binding [GO:0030976]; isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099],NA,COG0028,"Isoleucine, leucine, valine biosynthesis","Valine, leucine and isoleucine biosynthesis, Biosynthesis of secondary metabolites, C5-Branched dibasic acid metabolism, Butanoate metabolism, Pantothenate and CoA biosynthesis, 2-Oxocarboxylic acid metabolism, Metabolic pathways, Biosynthesis of amino acids"
PA3507,NA,NA,Q9HYA2,metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491],NA,COG1028,Fatty acid biosynthesis,NA
PA3508,NA,NA,Q9HYA1,"DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]",NA,COG1414,,NA
PA3509,NA,NA,Q9HYA0,hydrolase activity [GO:0016787],NA,COG0596,Menaquinone biosynthesis,NA
PA3510,NA,NA,Q9HY99,NA,NA,COG1917,,NA
PA3511,NA,NA,Q9HY98,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; fatty acid elongation [GO:0030497]",NA,COG1028,Fatty acid biosynthesis,NA
PA3512,NA,NA,Q9HY97,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857],NA,COG0600,,NA
PA3513,NA,NA,Q9HY96,thiamine biosynthetic process [GO:0009228],NA,NA,NA,NA
PA3514,NA,NA,Q9HY95,ATP binding [GO:0005524],NA,COG1116,,NA
PA3515,NA,NA,Q9HY94,methyltransferase activity [GO:0008168],NA,COG2227,Ubiquinone biosynthesis,NA
PA3516,,(RefSeq) adenylosuccinate lyase,Q9HY93,"cytosol [GO:0005829]; (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]; 'de novo' AMP biosynthetic process [GO:0044208]",NA,COG0015,Purine biosynthesis,"Alanine, aspartate and glutamate metabolism, Nucleotide metabolism, Biosynthesis of cofactors, Metabolic pathways, Biosynthesis of secondary metabolites, Purine metabolism"
PA3517,,(RefSeq) adenylosuccinate lyase,Q9HY92,"cytosol [GO:0005829]; (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]; 'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]",NA,COG0015,Purine biosynthesis,"Alanine, aspartate and glutamate metabolism, Biosynthesis of secondary metabolites, Metabolic pathways, Biosynthesis of cofactors, Nucleotide metabolism, Purine metabolism"
PA3518,NA,NA,Q9HY91,"periplasmic space [GO:0042597]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",NA,COG5424,,NA
PA3519,NA,NA,Q9HY90,"periplasmic space [GO:0042597]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",NA,COG5424,,NA
PA3520,NA,NA,Q9HY89,metal ion binding [GO:0046872],NA,NA,NA,NA
PA3521,NA,NA,Q9HY88,cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; efflux transmembrane transporter activity [GO:0015562],NA,NA,NA,NA
PA3522,NA,NA,Q9HY87,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; efflux transmembrane transporter activity [GO:0015562]; xenobiotic transmembrane transporter activity [GO:0042910]; cell division [GO:0051301],NA,NA,NA,NA
PA3523,NA,NA,Q9HY86,intrinsic component of plasma membrane [GO:0031226]; transmembrane transporter activity [GO:0022857]; cell division [GO:0051301]; response to antibiotic [GO:0046677],NA,NA,NA,NA
PA3524,gloA1,(RefSeq) lactoylglutathione lyase,Q9HY85,cytoplasm [GO:0005737]; lactoylglutathione lyase activity [GO:0004462]; metal ion binding [GO:0046872]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243],NA,NA,NA,"Metabolic pathways, Pyruvate metabolism"
PA3525,argG,(RefSeq) argininosuccinate synthase,Q9HY84,cytoplasm [GO:0005737]; argininosuccinate synthase activity [GO:0004055]; ATP binding [GO:0005524]; arginine biosynthetic process [GO:0006526]; argininosuccinate metabolic process [GO:0000053]; urea cycle [GO:0000050],NA,NA,NA,"Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids, Alanine, aspartate and glutamate metabolism, Arginine biosynthesis"
PA3526,,(RefSeq) hypothetical protein,Q9HY83,membrane [GO:0016020],NA,COG2885,,Flagellar assembly
PA3527,pyrC,(RefSeq) dihydroorotase,P72170,cytoplasm [GO:0005737]; cytosol [GO:0005829]; dihydroorotase activity [GO:0004151]; zinc ion binding [GO:0008270]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; pyrimidine nucleotide biosynthetic process [GO:0006221],NA,NA,NA,"Pyrimidine metabolism, Metabolic pathways, Biosynthesis of cofactors"
PA3528,NA,NA,Q9HY82,"cytosol [GO:0005829]; 3'-5' exonuclease activity [GO:0008408]; exoribonuclease activity, producing 5'-phosphomonoesters [GO:0016896]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; DNA replication proofreading [GO:0045004]; tRNA 3'-end processing [GO:0042780]",NA,NA,NA,NA
PA3529,NA,NA,Q9HY81,cytosol [GO:0005829]; alkyl hydroperoxide reductase activity [GO:0008785]; identical protein binding [GO:0042802]; peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]; cell redox homeostasis [GO:0045454],NA,COG0450,,NA
PA3530,NA,NA,Q9HY80,"2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]",NA,NA,NA,NA
PA3531,bfrB,(RefSeq) bacterioferritin,Q9HY79,cytosol [GO:0005829]; ferric iron binding [GO:0008199]; ferroxidase activity [GO:0004322]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826],NA,COG2193,,Porphyrin metabolism
PA3532,NA,NA,Q9HY78,integral component of membrane [GO:0016021]; membrane [GO:0016020]; transmembrane transporter activity [GO:0022857],NA,NA,NA,NA
PA3533,NA,NA,Q9HY77,"2 iron, 2 sulfur cluster binding [GO:0051537]; glutathione oxidoreductase activity [GO:0097573]; metal ion binding [GO:0046872]; cellular response to antibiotic [GO:0071236]",NA,COG0278,,NA
PA3534,NA,NA,Q9HY76,iron-sulfur cluster binding [GO:0051536]; molybdopterin cofactor binding [GO:0043546]; oxidoreductase activity [GO:0016491],NA,NA,NA,NA
PA3535,NA,NA,Q9HY75,outer membrane [GO:0019867]; serine-type endopeptidase activity [GO:0004252],NA,COG1404,,NA
PA3536,NA,NA,Q9HY74,integral component of membrane [GO:0016021],NA,NA,NA,NA
PA3537,argF,(RefSeq) ornithine carbamoyltransferase,P11724,cytoplasm [GO:0005737]; amino acid binding [GO:0016597]; ornithine carbamoyltransferase activity [GO:0004585]; arginine biosynthetic process via ornithine [GO:0042450]; citrulline biosynthetic process [GO:0019240],NA,COG0078,Arginine biosynthesis,"Biosynthesis of secondary metabolites, Metabolic pathways, Biosynthesis of amino acids, Arginine biosynthesis"
PA3538,,(RefSeq) ABC transporter ATP-binding protein,Q9HY73,ATP-binding cassette (ABC) transporter complex [GO:0043190]; plasma membrane [GO:0005886]; ABC-type ferric iron transporter activity [GO:0015408]; ATP binding [GO:0005524]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085],NA,COG3842,,ABC transporters
PA3539,NA,NA,Q9HY72,cytosol [GO:0005829]; response to hydroperoxide [GO:0033194],NA,NA,NA,NA
PA3540,algD,(RefSeq) GDP-mannose 6-dehydrogenase AlgD,P11759,GDP-mannose 6-dehydrogenase activity [GO:0047919]; NAD binding [GO:0051287]; alginic acid biosynthetic process [GO:0042121]; cellular response to cell envelope stress [GO:0036460]; response to osmotic stress [GO:0006970]; single-species biofilm formation [GO:0044010],NA,COG1004,,"Amino sugar and nucleotide sugar metabolism, Biosynthesis of nucleotide sugars, Two-component system, Fructose and mannose metabolism, Metabolic pathways"
PA3541,alg8,(RefSeq) glycosyltransferase alg8,Q52463,integral component of plasma membrane [GO:0005887]; alginate synthase activity [GO:0047643]; hyaluronan synthase activity [GO:0050501]; alginic acid biosynthetic process [GO:0042121]; extracellular matrix assembly [GO:0085029]; extracellular polysaccharide biosynthetic process [GO:0045226]; hyaluronan biosynthetic process [GO:0030213],NA,NA,NA,"Metabolic pathways, Fructose and mannose metabolism"
PA3542,alg44,(RefSeq) alginate biosynthesis protein Alg44,Q9HY69,Gram-negative-bacterium-type cell wall [GO:0009276]; periplasmic space [GO:0042597]; alginate synthase activity [GO:0047643]; cyclic-di-GMP binding [GO:0035438]; long-chain fatty acid-CoA ligase activity [GO:0004467]; alginic acid biosynthetic process [GO:0042121]; single-species biofilm formation [GO:0044010],NA,NA,NA,"Fructose and mannose metabolism, Metabolic pathways, Biofilm formation - Pseudomonas aeruginosa"
PA3543,NA,NA,P96956,cell outer membrane [GO:0009279]; alginic acid biosynthetic process [GO:0042121]; protein ubiquitination [GO:0016567]; ubiquitin-dependent ERAD pathway [GO:0030433],NA,COG0790,,NA
PA3544,NA,NA,P18895,cell outer membrane [GO:0009279]; alginic acid biosynthetic process [GO:0042121],NA,NA,NA,NA
PA3545,algG,(RefSeq) alginate-c5-mannuronan-epimerase AlgG,Q51371,periplasmic space [GO:0042597]; isomerase activity [GO:0016853]; alginic acid biosynthetic process [GO:0042121],NA,NA,NA,"Fructose and mannose metabolism, Metabolic pathways"
PA3546,NA,NA,Q51372,periplasmic space [GO:0042597]; acyltransferase activity [GO:0016746]; alginic acid biosynthetic process [GO:0042121]; single-species biofilm formation [GO:0044010],NA,NA,NA,NA
PA3547,algL,(RefSeq) alginate lyase,Q06749,periplasmic space [GO:0042597]; L-threonine ammonia-lyase activity [GO:0004794]; poly(beta-D-mannuronate) lyase activity [GO:0045135]; alginic acid biosynthetic process [GO:0042121]; alginic acid catabolic process [GO:0042122],NA,NA,NA,"Fructose and mannose metabolism, Metabolic pathways"
PA3548,NA,NA,Q51392,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acyltransferase activity [GO:0016746]; alginic acid acetylation [GO:0051979]; alginic acid biosynthetic process [GO:0042121],NA,NA,NA,NA
PA3549,NA,NA,Q51393,periplasmic space [GO:0042597]; plasma membrane [GO:0005886]; acyltransferase activity [GO:0016746]; alginic acid acetylation [GO:0051979]; alginic acid biosynthetic process [GO:0042121],NA,NA,NA,NA
PA3550,NA,NA,Q06062,periplasmic space [GO:0042597]; alginic acid acetylation [GO:0051979]; alginic acid biosynthetic process [GO:0042121],NA,NA,NA,NA
PA3551,algA,(RefSeq) bifunctional mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,P07874,GTP binding [GO:0005525]; mannose-1-phosphate guanylyltransferase activity [GO:0004475]; mannose-6-phosphate isomerase activity [GO:0004476]; alginic acid biosynthetic process [GO:0042121]; GDP-mannose biosynthetic process [GO:0009298],NA,COG0662,,"Metabolic pathways, Biofilm formation - Pseudomonas aeruginosa, O-Antigen nucleotide sugar biosynthesis, Amino sugar and nucleotide sugar metabolism, Biosynthesis of secondary metabolites, Biosynthesis of nucleotide sugars, Fructose and mannose metabolism"
PA3552,arnB,(RefSeq) UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,Q9HY65,pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; UDP-4-amino-4-deoxy-L-arabinose aminotransferase [GO:0099620]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; polysaccharide biosynthetic process [GO:0000271]; response to antibiotic [GO:0046677],NA,NA,NA,"Metabolic pathways, Cationic antimicrobial peptide (CAMP) resistance, Two-component system, Amino sugar and nucleotide sugar metabolism, Biosynthesis of nucleotide sugars"
PA3553,arnC,(RefSeq) undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Q9HY64,"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase activity [GO:0099621]; 4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]",NA,COG0463,,"Metabolic pathways, Cationic antimicrobial peptide (CAMP) resistance, Amino sugar and nucleotide sugar metabolism"
PA3554,arnA,(RefSeq) bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase,Q9HY63,UDP-4-amino-4-deoxy-L-arabinose formyltransferase activity [GO:0099619]; UDP-glucuronic acid dehydrogenase activity [GO:0099618]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677],NA,COG0451,,"Amino sugar and nucleotide sugar metabolism, Biosynthesis of nucleotide sugars, Metabolic pathways, Cationic antimicrobial peptide (CAMP) resistance"
PA3555,arnD,(RefSeq) 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Q9HY62,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; 4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process [GO:0036108]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; response to antibiotic [GO:0046677]",NA,NA,NA,"Amino sugar and nucleotide sugar metabolism, Cationic antimicrobial peptide (CAMP) resistance, Metabolic pathways"
PA3556,arnT,(RefSeq) 4-amino-4-deoxy-L-arabinose lipid A transferase,Q9HY61,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; 4-amino-4-deoxy-L-arabinose transferase activity [GO:0103015]; mannosyltransferase activity [GO:0000030]; pentosyltransferase activity [GO:0016763]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; protein O-linked glycosylation [GO:0006493]; response to iron(III) ion [GO:0010041],NA,COG1807,,"Lipopolysaccharide biosynthesis, Cationic antimicrobial peptide (CAMP) resistance"
PA3557,arnE,(RefSeq) 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,Q9HY60,integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; transmembrane transport [GO:0055085],NA,NA,NA,Cationic antimicrobial peptide (CAMP) resistance
PA3558,arnF,(RefSeq) 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,Q9HY59,integral component of plasma membrane [GO:0005887]; transmembrane transporter activity [GO:0022857]; lipid A biosynthetic process [GO:0009245]; lipopolysaccharide biosynthetic process [GO:0009103]; transmembrane transport [GO:0055085],NA,NA,NA,Cationic antimicrobial peptide (CAMP) resistance
PA3559,,(RefSeq) nucleotide sugar dehydrogenase,Q9HY58,NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; polysaccharide biosynthetic process [GO:0000271]; UDP-glucuronate biosynthetic process [GO:0006065],NA,COG1004,,"Ascorbate and aldarate metabolism, Metabolic pathways, Amino sugar and nucleotide sugar metabolism, Pentose and glucuronate interconversions, Biosynthesis of cofactors, Biosynthesis of nucleotide sugars, O-Antigen nucleotide sugar biosynthesis"
PA3560,fruA,(RefSeq) PTS system fructose-specific transporter subunit IIBC,Q9HY57,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; fructose import [GO:0032445]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401],NA,COG1445,,"Fructose and mannose metabolism, Fructose and mannose metabolism, Metabolic pathways, Metabolic pathways, Phosphotransferase system (PTS), Phosphotransferase system (PTS), Microbial metabolism in diverse environments, Microbial metabolism in diverse environments"
